1156420200,湖北省,黄石市,HUANGSHI
1156420300,湖北省,十堰市,SHIYAN
1156420500,湖北省,宜昌市,YICHANG
1156420600,湖北省,襄樊市,XIANGFAN
1156420700,湖北省,鄂州市,EZHOU
1156420800,湖北省,荆门市,JINGMEN
1156420900,湖北省,孝感市,XIAOGAN
1156421000,湖北省,荆州市,JINGZHOU
1156421100,湖北省,黄冈市,HUANGGANG
1156421200,湖北省,咸宁市,XIANNING
1156421300,湖北省,随州市,SUIZHOU
1156422800,湖北省,恩施土家族苗族自治州,ENSHI
1156429000,湖北省,省直辖县级行政区划,HUBEIOTHER
1156430000,湖南省,湖南省,HUNAN
1156430100,湖南省,长沙市,CHANGSHA
1156430200,湖南省,株洲市,ZHUZHOU
1156430300,湖南省,湘潭市,XIANGTAN
1156430400,湖南省,衡阳市,HENGYANG
1156430500,湖南省,邵阳市,SHAOYANG
1156430600,湖南省,岳阳市,YUEYANG
1156430700,湖南省,常德市,CHANGDE
1156430800,湖南省,张家界市,ZHANGJIAJIE
1156430900,湖南省,益阳市,YIYANG
1156431000,湖南省,郴州市,CHENZHOU
1156431100,湖南省,永州市,YONGZHOU
1156431200,湖南省,怀化市,HUAIHUA
1156431300,湖南省,娄底市,LOUDI
1156433100,湖南省,湘西土家族苗族自治州,XIANGXI
1156510000,四川省,四川省,SICHUANG
1156510100,四川省,成都市,CHENGDU
1156510300,四川省,自贡市,ZIGONG
1156510400,四川省,攀枝花市,PANZHIHUA
1156510500,四川省,泸州市,LUZHOU
1156510600,四川省,德阳市,DEYANG
1156510700,四川省,绵阳市,MIANYANG
1156510800,四川省,广元市,GUANGYUAN
1156510900,四川省,遂宁市,SUINING
1156511000,四川省,内江市,NEIJIANG
1156511100,四川省,乐山市,LESHAN
1156511300,四川省,南充市,NANCHONG
1156511400,四川省,眉山市,MEISHAN
1156511500,四川省,宜宾市,YIBIN
1156511600,四川省,广安市,GUANG'AN
1156511700,四川省,达州市,DAZHOU
1156511800,四川省,雅安市,YA'AN
1156511900,四川省,巴中市,BAZHONG
1156512000,四川省,资阳市,ZIYANG
1156513200,四川省,阿坝藏族羌族自治州,ABA
1156513300,四川省,甘孜藏族自治州,GARZE
1156513400,四川省,凉山彝族自治州,LIANGSHAN
1156520000,贵州省,贵州省,GUIZHOU
1156520100,贵州省,贵阳市,GUIYANG
1156520200,贵州省,六盘水市,LIUPANSHUI
1156520300,贵州省,遵义市,ZUNYI
1156520400,贵州省,安顺市,ANSHUN
1156522200,贵州省,铜仁地区,TONGREN
1156522300,贵州省,黔西南布依族苗族自治州,QIANXINAN
1156522400,贵州省,毕节地区,BIJIE
1156522600,贵州省,黔东南苗族侗族自治州,QIANDONGNAN
1156522700,贵州省,黔南布依族苗族自治州,QIANNAN
1156530000,云南省,云南省,YUNNAN
1156530100,云南省,昆明市,KUNMING
1156530300,云南省,曲靖市,QUJING
1156530400,云南省,玉溪市,YUXI
1156530500,云南省,保山市,BAOSHAN
1156530600,云南省,昭通市,ZHAOTONG
1156530700,云南省,丽江市,LIJIANG
1156530800,云南省,普洱市,PUER
1156530900,云南省,临沧市,LINCANG
1156532300,云南省,楚雄彝族自治州,CHUXIONG
1156532500,云南省,红河哈尼族彝族自治州,HONGHE
1156532600,云南省,文山壮族苗族自治州,WENSHAN
1156532800,云南省,西双版纳傣族自治州,XISHUANGBANNA
1156532900,云南省,大理白族自治州,DALI
1156533100,云南省,德宏傣族景颇族自治州,DEHONG
1156533300,云南省,怒江傈僳族自治州,NUJIANG
1156533400,云南省,迪庆藏族自治州,DIQING
1156350000,福建省,福建省,FUJIAN
1156350100,福建省,福州市,FUZHOU
1156350200,福建省,厦门市,XIAMEN
1156350300,福建省,莆田市,PUTIAN
1156350400,福建省,三明市,SANMING
1156350500,福建省,泉州市,QUANZHOU
1156350600,福建省,漳州市,ZHANGZHOU
1156350700,福建省,南平市,NANPING
1156350800,福建省,龙岩市,LONGYAN
1156350900,福建省,宁德市,NINGDE
1156360000,江西省,江西省,JIANGXI
1156360100,江西省,南昌市,NANCHANG
1156360200,江西省,景德镇市,JINGDEZHEN
1156360300,江西省,萍乡市,PINGXIANG
1156360400,江西省,九江市,JIUJIANG
1156360500,江西省,新余市,XINYU
1156360600,江西省,鹰潭市,YINGTAN
1156360700,江西省,赣州市,GANZHOU
1156360800,江西省,吉安市,JI'AN
1156360900,江西省,宜春市,YICHUN1
1156361000,江西省,抚州市,FUZHOU1
1156361100,江西省,上饶市,SHANGRAO
1156370000,山东省,山东省,SHANDONG
1156370100,山东省,济南市,JINAN
1156370200,山东省,青岛市,QINGDAO
1156370300,山东省,淄博市,ZIBO
1156370400,山东省,枣庄市,ZAOZHUANG
1156370500,山东省,东营市,DONGYING
1156370600,山东省,烟台市,YANTAI
1156370700,山东省,潍坊市,WEIFANG
1156370800,山东省,济宁市,JINING
1156370900,山东省,泰安市,TAI'AN
1156371000,山东省,威海市,WEIHAI
1156371100,山东省,日照市,RIZHAO
1156371200,山东省,莱芜市,LAIWU
1156371300,山东省,临沂市,LINYI
1156371400,山东省,德州市,DEZHOU
1156371500,山东省,聊城市,LIAOCHENG
1156371600,山东省,滨州市,BINZHOU
1156371700,山东省,菏泽市,HEZE
1156410000,河南省,河南省,HENAN
1156410100,河南省,郑州市,ZHENGZHOU
1156410200,河南省,开封市,KAIFENG
1156410300,河南省,洛阳市,LUOYANG
1156410400,河南省,平顶山市,PINGDINGSHAN
1156410500,河南省,安阳市,ANYANG
1156410600,河南省,鹤壁市,HEBI
1156410700,河南省,新乡市,XINXIANG
1156410800,河南省,焦作市,JIAOZUO
1156410900,河南省,濮阳市,PUYANG
1156411000,河南省,许昌市,XUCHANG
1156411100,河南省,漯河市,LUOHE
1156411200,河南省,三门峡市,SANMENXIA
1156411300,河南省,南阳市,NANYANG
1156411400,河南省,商丘市,SHANGQIU
1156411500,河南省,信阳市,XINYANG
1156411600,河南省,周口市,ZHOUKOU
1156411700,河南省,驻马店市,ZHUMADIAN
1156419000,河南省,省直辖县级行政区划,HENANOHTER
1156440000,广东省,广东省,GUANGDONG
1156440100,广东省,广州市,GUANGZHOU
1156440200,广东省,韶关市,SHAOGUAN
1156440300,广东省,深圳市,SHENZHEN
1156440400,广东省,珠海市,ZHUHAI
1156440500,广东省,汕头市,SHANTOU
1156440600,广东省,佛山市,FOSHAN
1156440700,广东省,江门市,JIANGMEN
1156440800,广东省,湛江市,ZHANJIANG
1156440900,广东省,茂名市,MAOMING
1156441200,广东省,肇庆市,ZHAOQING
1156441300,广东省,惠州市,HUIZHOU
1156441400,广东省,梅州市,MEIZHOU
1156441500,广东省,汕尾市,SHANWEI
1156441600,广东省,河源市,HEYUAN
1156441700,广东省,阳江市,YANGJIANG
1156441800,广东省,清远市,QINGYUAN
1156441900,广东省,东莞市,DONGGUAN
1156442000,广东省,中山市,ZHONGSHAN
1156445100,广东省,潮州市,CHAOZHOU
1156445200,广东省,揭阳市,JIEYANG
1156445300,广东省,云浮市,YUNFU
1156450000,广西壮族自治区,广西壮族自治区,GUANGXI
1156450100,广西壮族自治区,南宁市,NANNING
1156450200,广西壮族自治区,柳州市,LIUZHOU
1156450300,广西壮族自治区,桂林市,GUILIN
1156450400,广西壮族自治区,梧州市,WUZHOU
1156450500,广西壮族自治区,北海市,BEIHAI
1156450600,广西壮族自治区,防城港市,FANGCHENGGANG
1156450700,广西壮族自治区,钦州市,QINZHOU
1156450800,广西壮族自治区,贵港市,GUIGANG
1156450900,广西壮族自治区,玉林市,YULIN1
1156451000,广西壮族自治区,百色市,BOSE
1156451100,广西壮族自治区,贺州市,HEZHOU
1156451200,广西壮族自治区,河池市,HECHI
